Date : 2022-11-26 15:55:51
Directory : d:\Dev\projects\xhis\web\src
Total : 97 files,  12806 codes, 3651 comments, 1121 blanks, all 17578 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         87 |     11,191 |      3,382 |        902 |     15,475 |
| JavaScript |          8 |      1,467 |        254 |        191 |      1,912 |
| CSS        |          2 |        148 |         15 |         28 |        191 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |         97 |     12,806 |      3,651 |      1,121 |     17,578 |
| api                                                                         |          1 |         10 |          9 |          4 |         23 |
| common                                                                      |          2 |        148 |         15 |         28 |        191 |
| components                                                                  |          8 |      1,413 |         54 |        112 |      1,579 |
| components\Common                                                           |          5 |        796 |         21 |         57 |        874 |
| components\Layout                                                           |          2 |        155 |         28 |         24 |        207 |
| components\OpenlayersControls                                               |          1 |        462 |          5 |         31 |        498 |
| config                                                                      |          1 |          0 |          0 |          1 |          1 |
| router                                                                      |          1 |        394 |         30 |         12 |        436 |
| store                                                                       |          1 |         13 |          0 |          2 |         15 |
| test                                                                        |          1 |          5 |          1 |          3 |          9 |
| utils                                                                       |          3 |      1,037 |        215 |        168 |      1,420 |
| views                                                                       |         77 |      9,763 |      3,327 |        781 |     13,871 |
| views\3D                                                                    |          8 |      1,595 |        278 |        130 |      2,003 |
| views\admin                                                                 |          5 |        116 |          4 |         22 |        142 |
| views\analyze                                                               |          6 |        139 |          5 |         28 |        172 |
| views\apply                                                                 |          4 |         93 |          3 |         18 |        114 |
| views\data                                                                  |         19 |        453 |         17 |         93 |        563 |
| views\home                                                                  |          1 |         45 |          6 |          6 |         57 |
| views\map                                                                   |          6 |      6,365 |      2,949 |        311 |      9,625 |
| views\project                                                               |         26 |        619 |         25 |        128 |        772 |
| views\user                                                                  |          2 |        338 |         40 |         45 |        423 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                    | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Dev\projects\xhis\web\src\App.vue                                        | Vue        |         10 |          0 |          6 |         16 |
| d:\Dev\projects\xhis\web\src\api\index.js                                   | JavaScript |         10 |          9 |          4 |         23 |
| d:\Dev\projects\xhis\web\src\common\base.css                                | CSS        |         47 |         15 |          7 |         69 |
| d:\Dev\projects\xhis\web\src\common\el-container.css                        | CSS        |        101 |          0 |         21 |        122 |
| d:\Dev\projects\xhis\web\src\components\Common\BasemapToggle.vue            | Vue        |        168 |          2 |         13 |        183 |
| d:\Dev\projects\xhis\web\src\components\Common\LayerAndDraw.vue             | Vue        |        168 |          7 |         16 |        191 |
| d:\Dev\projects\xhis\web\src\components\Common\MapLegend.vue                | Vue        |         23 |          1 |          4 |         28 |
| d:\Dev\projects\xhis\web\src\components\Common\MapTool.vue                  | Vue        |        346 |         10 |         17 |        373 |
